"valued_component","node_id","label"
"Terrestrial and Semi-Aquatic SAR","2","Terrestrial and Semi-Aquatic SAR"
"Terrestrial and Semi-Aquatic SAR","3","Direct Habitat Destruction or Degradation"
"Terrestrial and Semi-Aquatic SAR","4","Introduction of Invasive/Non-native species"
"Terrestrial and Semi-Aquatic SAR","5","Direct Injury or Mortality"
"Terrestrial and Semi-Aquatic SAR","6","Damage or Destruction of Nests or Dens"
"Terrestrial and Semi-Aquatic SAR","7","Change in Vegetation Community Composition and Structure"
"Terrestrial and Semi-Aquatic SAR","13","Increase in Edge Habitat"
"Terrestrial and Semi-Aquatic SAR","14","Fragmentation of Habitat"
"Terrestrial and Semi-Aquatic SAR","15","Loss of Habitat"
"Terrestrial and Semi-Aquatic SAR","22","Creation of Early Seral Stage Habitat"
"Terrestrial and Semi-Aquatic SAR","24","Change in Predator and/or Prey Abundance"
"Terrestrial and Semi-Aquatic SAR","26","Increase in Predation Risk"
"Terrestrial and Semi-Aquatic SAR","29","Decrease in Food Availability"
"Terrestrial and Semi-Aquatic SAR","30","Change in Soil and Terrain"
"Terrestrial and Semi-Aquatic SAR","33","Decrease in Landscape Connectivity"
"Terrestrial and Semi-Aquatic SAR","47","Increased Access"
"Terrestrial and Semi-Aquatic SAR","48","Increase in Predation Risk"
"Terrestrial and Semi-Aquatic SAR","50","Increase in Public Access"
"Terrestrial and Semi-Aquatic SAR","51","Increase in Predator Access"
"Terrestrial and Semi-Aquatic SAR","52","Creation of Linear Barriers to Movement"
"Terrestrial and Semi-Aquatic SAR","56","Increase in Illegal Trapping and/or Harvesting"
"Terrestrial and Semi-Aquatic SAR","58","Change in Movement and Behaviour"
"Terrestrial and Semi-Aquatic SAR","61","Increase in Adverse Human-Wildlife Interactions"
"Terrestrial and Semi-Aquatic SAR","69","Sensory Disturbance"
"Terrestrial and Semi-Aquatic SAR","70","Avoidance of Habitat"
"Terrestrial and Semi-Aquatic SAR","71","Change in Movement and Behaviour"
"Terrestrial and Semi-Aquatic SAR","72","Increase in Predation Risk"
"Terrestrial and Semi-Aquatic SAR","83","Change in Air Quality"
"Terrestrial and Semi-Aquatic SAR","84","Deposition of Dust and Particulate Matter"
"Terrestrial and Semi-Aquatic SAR","86","Inhalation and/or ingestion of COPCs"
"Terrestrial and Semi-Aquatic SAR","87","Habitat Availability and Distribution"
"Terrestrial and Semi-Aquatic SAR","88","Fitness, Reproduction, and Mortality"
"Terrestrial and Semi-Aquatic SAR","93","Population Abundance and Distribution"
"Terrestrial and Semi-Aquatic SAR","96","Change in Groundwater Quality"
"Terrestrial and Semi-Aquatic SAR","97","Change in Surface Water Quantity"
"Terrestrial and Semi-Aquatic SAR","100","Change in Surface Water Quality"
"Terrestrial and Semi-Aquatic SAR","103","Change in Groundwater Quantity"
"Terrestrial and Semi-Aquatic SAR","104","Decrease in Flows to Wetlands"
"Terrestrial and Semi-Aquatic SAR","106","Change in Vegetation Species Composition and Structure"
"Terrestrial and Semi-Aquatic SAR","107","Change in Soil Quality"
"Terrestrial and Semi-Aquatic SAR","108","Ingestion of Constitutents of Potential Concern (COPCs)"
"Terrestrial and Semi-Aquatic SAR","109","Increased Sediment in Runoff"
"Terrestrial and Semi-Aquatic SAR","110","Change in Flows and/or water level"
"Terrestrial and Semi-Aquatic SAR","111","Increase in Soil Erosion"
"Terrestrial and Semi-Aquatic SAR","112","Change in Habitat Quality"
"Terrestrial and Semi-Aquatic SAR","131","Release of Site Contact Water and Treated Effluent"
"Terrestrial and Semi-Aquatic SAR","132","Decrease in Soil and Water Quality"
"Terrestrial and Semi-Aquatic SAR","135","Change in Upland, Wetland, and Riparian Ecosystems"
"Terrestrial and Semi-Aquatic SAR","138","Ingestion of Constituents of Potential Concern (COPCs)"
"Terrestrial and Semi-Aquatic SAR","144","Introduction of Hazardous and/or Chemical Materials"
"Terrestrial and Semi-Aquatic SAR","148","Improper Disposal of Food Waste"
"Terrestrial and Semi-Aquatic SAR","150","Attraction of Carnivores and Scavengers "
"Terrestrial and Semi-Aquatic SAR","152","Increase in Local Predator Abundance"
"Terrestrial and Semi-Aquatic SAR","153","Increase in Adverse Human-Wildlife Interactions"
"Terrestrial and Semi-Aquatic SAR","158","Direct Ingestion"
"Terrestrial and Semi-Aquatic SAR","160","Decrease in Soil and Water Quality"
"Terrestrial and Semi-Aquatic SAR","162","Chronic Health Effects"
"Terrestrial and Semi-Aquatic SAR","164","Acute Toxicity"
"Terrestrial and Semi-Aquatic SAR","165","Change in Upland, Wetland, and Riparian Ecosystems"
"Terrestrial and Semi-Aquatic SAR","174","Failure of Water Management Structures"
"Terrestrial and Semi-Aquatic SAR","175","Flooding"
"Terrestrial and Semi-Aquatic SAR","176","Increase in Sedimentation"
"Terrestrial and Semi-Aquatic SAR","177","Increase in Constituents of Potential Concern (COPCs)"
"Terrestrial and Semi-Aquatic SAR","178","Change in or Loss of Riperian Zone Availability"
"Terrestrial and Semi-Aquatic SAR","179","Damage or Destruction of Nests or Dens"
"Migratory Birds and Bird SAR","47","Direct Habitat Destruction or Degradation"
"Migratory Birds and Bird SAR","48","Introduction of Invasive/Non-native species"
"Migratory Birds and Bird SAR","49","Damage or Destruction of Nests"
"Migratory Birds and Bird SAR","50","Change in Vegetation Community Composition and Structure"
"Migratory Birds and Bird SAR","55","Increase in Edge Habitat"
"Migratory Birds and Bird SAR","56","Fragmentation of Habitat"
"Migratory Birds and Bird SAR","57","Loss of Habitat"
"Migratory Birds and Bird SAR","63","Creation of Early Seral Stage Habitat"
"Migratory Birds and Bird SAR","64","Change in Predator and/or Prey Abundance"
"Migratory Birds and Bird SAR","66","Increase in Predation Risk"
"Migratory Birds and Bird SAR","69","Increase in Perching Opportunities"
"Migratory Birds and Bird SAR","70","Change in Soil and Terrain"
"Migratory Birds and Bird SAR","73","Decrease in Landscape Connectivity"
"Migratory Birds and Bird SAR","91","Increased Access"
"Migratory Birds and Bird SAR","92","Increase in Predation Risk"
"Migratory Birds and Bird SAR","94","Increase in Public Access"
"Migratory Birds and Bird SAR","95","Increase in Predator Access"
"Migratory Birds and Bird SAR","98","Increase in Bird Harvest"
"Migratory Birds and Bird SAR","100","Increase in Disturbance"
"Migratory Birds and Bird SAR","108","Sensory Disturbance"
"Migratory Birds and Bird SAR","109","Avoidance of Habitat"
"Migratory Birds and Bird SAR","110","Change in Movement and Behaviour"
"Migratory Birds and Bird SAR","111","Increase in Predation Risk"
"Migratory Birds and Bird SAR","119","Abandonment of Nests"
"Migratory Birds and Bird SAR","120","Mortality of Young"
"Migratory Birds and Bird SAR","123","Increase in Energetic Costs"
"Migratory Birds and Bird SAR","130","Change in Air Quality"
"Migratory Birds and Bird SAR","131","Deposition of Dust and Particulate Matter"
"Migratory Birds and Bird SAR","133","Inhalation and Ingestion of Constituents of Potential Concern (COPCs)"
"Migratory Birds and Bird SAR","134","Habitat Availability and Distribution"
"Migratory Birds and Bird SAR","135","Fitness, Reproduction, and Mortality"
"Migratory Birds and Bird SAR","140","Population Abundance and Distribution"
"Migratory Birds and Bird SAR","170","Presence of pit lakes and Water Management ponds"
"Migratory Birds and Bird SAR","172","Electrocution"
"Migratory Birds and Bird SAR","175","Increase in Aircraft, Vehicles and Infrastructure presence"
"Migratory Birds and Bird SAR","177","Decrease in Water Quality"
"Migratory Birds and Bird SAR","179","Increase in Collisions"
"Migratory Birds and Bird SAR","184","Nest Destruction or Damage"
"Migratory Birds and Bird SAR","186","Mortality of Young"
"Migratory Birds and Bird SAR","188","Oil on Plumage"
"Migratory Birds and Bird SAR","189","Ingestion of Constituents of Potential Concern (COPCs)"
"Migratory Birds and Bird SAR","195","Change in Groundwater Quality and Quantity"
"Migratory Birds and Bird SAR","196","Change in Surface water Quality and Quantity"
"Migratory Birds and Bird SAR","197","Release of Site Contact Water and Treated Effluent"
"Migratory Birds and Bird SAR","199","Change in Soil and Water Quality"
"Migratory Birds and Bird SAR","200","Ingestion of Constitutents of Potential Concern (COPCs)"
"Migratory Birds and Bird SAR","210","Change in Vegetation Species Composition and Structure"
"Migratory Birds and Bird SAR","215","Introduction of Hazardous and/or Chemical Materials"
"Migratory Birds and Bird SAR","219","Improper Disposal of Food Waste and Petroleum Products"
"Migratory Birds and Bird SAR","221","Attraction of Carnivores and Scavengers "
"Migratory Birds and Bird SAR","223","Increase in Local Predator Abundance"
"Migratory Birds and Bird SAR","226","Direct Ingestion"
"Migratory Birds and Bird SAR","228","Decrease in Soil and Water Quality"
"Migratory Birds and Bird SAR","230","Chronic Health Effects"
"Migratory Birds and Bird SAR","232","Acute Toxicity"
"Migratory Birds and Bird SAR","233","Change in Upland, Wetland, and Riparian Ecosystems"
"Migratory Birds and Bird SAR","237","Ingestion of Constituents of Potential Concern (COPCs)"
"Migratory Birds and Bird SAR","245","Oil on Plumage"
"Migratory Birds and Bird SAR","248","Flooding"
"Migratory Birds and Bird SAR","249","Increase in Sedimentation"
"Migratory Birds and Bird SAR","250","Ingestion of Constituents of Potential Concern (COPCs)"
"Migratory Birds and Bird SAR","251","Change in or Loss of Riparian Zone Availability"
"Migratory Birds and Bird SAR","256","Damage or Destruction of Nests"
"Migratory Birds and Bird SAR","258","Mortality of Young"
"Migratory Birds and Bird SAR","260","Failure of Water Management Structures"
"Migratory Birds and Bird SAR","266","Migratory Birds and Bird SAR"
"Marine Birds","2","Marine Birds"
"Marine Birds","3","Direct Habitat Destruction or Degradation"
"Marine Birds","4","Introduction of Invasive/Non-native species"
"Marine Birds","5","Damage or Destruction of Nests"
"Marine Birds","6","Change in Composition and Structure of Forage Species"
"Marine Birds","11","Fragmentation of Habitat"
"Marine Birds","12","Loss of Habitat"
"Marine Birds","17","Loss or Change in Polynas"
"Marine Birds","18","Loss of Offshore Foraging Areas"
"Marine Birds","21","Change in Habitat Arrangement"
"Marine Birds","28","Decrease in Population Connectivity"
"Marine Birds","30","Increase in Predation Risk"
"Marine Birds","37","Loss of Nesting Areas"
"Marine Birds","41","Sensory Disturbance"
"Marine Birds","42","Avoidance of Habitat"
"Marine Birds","46","Change in Movement and Behaviour"
"Marine Birds","47","Abandonment of Nests"
"Marine Birds","50","Increase in Collision and Stranding Risk"
"Marine Birds","52","Increase in Predation Risk"
"Marine Birds","57","Increase in Energy Expenditure and Decrease in Foraging Time"
"Marine Birds","59","Attraction to Light, Structures, and Vessels"
"Marine Birds","61","Mortality of Young"
"Marine Birds","68","Decrease in Prey Abundance"
"Marine Birds","69","Change in Foraging Behaviour"
"Marine Birds","75","Habitat Availability and Distribution"
"Marine Birds","76","Fitness, Reproduction, and Mortality"
"Marine Birds","77","Increase in Underwater Explosions and Construction"
"Marine Birds","79","Increase in Vessel Traffic"
"Marine Birds","82","Increase in Ship Wake"
"Marine Birds","83","Increase in Garbage and Plastic Pollution"
"Marine Birds","89","Injury or Mortality from Ship Strikes"
"Marine Birds","91","Change in Habitat Arrangement"
"Marine Birds","93","Damage or Destruction of Nesting Habitat"
"Marine Birds","95","Ingestion or Choking"
"Marine Birds","99","Population Abundance and Distribution"
"Marine Birds","102","Injury or Mortality"
"Marine Birds","105","Destruction of Nests"
"Marine Birds","109","Introduction of Hazardous and/or Chemical Materials"
"Marine Birds","113","Improper Disposal of Vessel Wastes"
"Marine Birds","115","Decrease in Sediment and Water Quality"
"Marine Birds","117","Ingestion of Constituents of Potential Concern (COPCs)"
"Marine Birds","118","Degradation of Habitat"
"Marine Birds","123","Direct Ingestion"
"Marine Birds","126","Chronic Health Effects"
"Marine Birds","128","Acute Toxicity"
"Marine Birds","131","Oil on Plumage"
"Marine Birds","133","Drowning or Starvation"
"Marine Birds","143","Release of Site Contact Water and Treated Effluent"
"Marine Birds","145","Decrease in Sediment and Water Quality"
"Marine Birds","146","Ingestion of Constituents of Potential Concern (COPCs)"
"Marine Birds","147","Degradation of Habitat"
"Marine Birds","151","Increase in Sediment in Runoff"
"Plant SAR","2","Plant SAR"
"Plant SAR","3","Direct Habitat Destruction or Degradation"
"Plant SAR","4","Introduction of Invasive/Non-native species"
"Plant SAR","5","Direct Destruction of Plants"
"Plant SAR","6","Change in Vegetation Community Composition and Structure"
"Plant SAR","11","Increase in Edge Habitat"
"Plant SAR","12","Fragmentation of Habitat"
"Plant SAR","13","Loss of Habitat"
"Plant SAR","18","Change in Soil and Terrain"
"Plant SAR","20","Decrease in Population Connectivity"
"Plant SAR","32","Change in Air Quality"
"Plant SAR","34","Deposition of Dust and Particulate Matter"
"Plant SAR","35","Blocking Stomata"
"Plant SAR","36","Changes in Soil and Water Quality"
"Plant SAR","46","Change in Species Composition and Structure"
"Plant SAR","48","Chlorosis"
"Plant SAR","50","Absorption of Constituents of Potential Concern (COPCs)"
"Plant SAR","56","Change in Groundwater Quality"
"Plant SAR","57","Change in Surface Water Quantity"
"Plant SAR","58","Habitat Availability and Distribution"
"Plant SAR","60","Change in Surface Water Quality"
"Plant SAR","63","Change in Groundwater Quantity"
"Plant SAR","64","Change in Subsurface Flow"
"Plant SAR","67","Change in Species Composition and Structure"
"Plant SAR","68","Increased Sediment in Runoff"
"Plant SAR","69","Change in Flows and/or water level"
"Plant SAR","70","Increase in Desiccation or Inundation"
"Plant SAR","71","Change in Habitat Quality"
"Plant SAR","79","Population Abundance and Distribution"
"Plant SAR","81","Fitness, Reproduction, and Mortality"
"Plant SAR","83","Change in Availability of Nutrients"
"Plant SAR","90","Increase in Soil Erosion"
"Plant SAR","95","Release of Site Contact Water and Treated Effluent"
"Plant SAR","96","Decrease in Soil and Water Quality"
"Plant SAR","98","Uptake of Constituents of Potential Concern (COPCs)"
"Plant SAR","105","Introduction of Hazardous and/or Chemical Materials"
"Plant SAR","109","Acute and Sublethal Effects to Plants"
"Plant SAR","111","Decrease in Soil and Water Quality"
"Plant SAR","120","Uptake of Constituents of Potential Concern (COPCs)"
"Plant SAR","123","Failure of Water Management Structures"
"Plant SAR","124","Flooding"
"Plant SAR","125","Submergence and Waterlogging"
"Wetlands","2","Wetlands"
"Wetlands","3","Direct Habitat Destruction or Degradation"
"Wetlands","4","Introduction of Invasive/Non-native species"
"Wetlands","5","Loss of Habitat"
"Wetlands","6","Change in Vegetation Community Composition and Structure"
"Wetlands","11","Increase in Edge Habitat"
"Wetlands","12","Fragmentation of Habitat"
"Wetlands","13","Change in Vegetation Composition"
"Wetlands","17","Change in Light and Moisture Regimes"
"Wetlands","19","Change in Wetland Arrangement and Available Habitat"
"Wetlands","27","Change in Terrain and Soil"
"Wetlands","30","Change in Light and Moisture Regimes"
"Wetlands","34","Change in Slopes and Shorelines"
"Wetlands","35","Change in Land Drainage Patterns"
"Wetlands","36","Decrease in Soil and Water Quality"
"Wetlands","40","Change in Habitat Structure and Composition"
"Wetlands","44","Bank and Slope Instability and Exposed Soils"
"Wetlands","46","Increase in Erosion"
"Wetlands","48","Deposit of Contaminants and Sediment"
"Wetlands","51","Change in Water Temperature"
"Wetlands","53","Decrease in Primary Productivity"
"Wetlands","54","Decrease in Habitat Availability for Wildlife"
"Wetlands","57","Change in Organic Structure and Nutrient Concentration"
"Wetlands","64","Change in Surface Water Quality"
"Wetlands","65","Change in Groundwater Quantity"
"Wetlands","67","Change in Groundwater Quality"
"Wetlands","70","Change in Surface Water Quantity"
"Wetlands","71","Change in Flows and Water Levels"
"Wetlands","73","Decrease in Subsurface Flows"
"Wetlands","74","Change in Vegetation Species Composition and Structure"
"Wetlands","75","Change in Availability of Nutrients"
"Wetlands","80","Change in Wetland Quality"
"Wetlands","84","Increase in Erosion"
"Wetlands","85","Increase in Desiccation or Inundation"
"Wetlands","86","Change in Soil Quality"
"Wetlands","88","Increase in Invasive and Non-native Species"
"Wetlands","95","Wetland Abundance and Distrubtion"
"Wetlands","96","Wetland Quality and Function"
"Wetlands","97","Population Abundance and Distribution"
"Wetlands","105","Release of Site Contact Water and Treated Effluent"
"Wetlands","106","Thermal Loading"
"Wetlands","108","Nutrient Loading"
"Wetlands","110","Increase in Algae Biomass"
"Wetlands","111","Increase in Sedimentation and Constituents of Potential Concern (COPCs)"
"Wetlands","113","Decrease in Dissolved Oxygen"
"Wetlands","116","Change in Water Quality"
"Wetlands","123","Change in Air Quality"
"Wetlands","125","Deposition of Dust and Particulate Matter"
"Wetlands","126","Change in Water Quality"
"Wetlands","127","Change in Upland Soil Quality"
"Wetlands","131","Change in Species Composition and Structure"
"Wetlands","142","Failure of Water Management Structures"
"Wetlands","144","Introduction of Hazardous and/or Chemical Materials"
"Wetlands","146","Flooding"
"Wetlands","148","Increase in Sedimentation and Constituents of Potential Concern (COPCs)"
"Wetlands","150","Change in Water Quality"
"Wetlands","156","Lethal and Sublethal Effects to Wetland Species"
"Wetlands","157","Decrease in Soil and Water Quality"
